song_id,artist,title,period,genre,gold_theme,llm_theme,gold_emotion,llm_emotion,gold_values,llm_values
98f71f1f689b,Karolina Gočeva,Mojot svet,savremeno,pop,identitet/domovina,identitet/domovina,pozitivno,mešano,"ponos, pripadnost, ljubav prema domovini","spiritualnost, muzika kao spasenje, balkanski identitet, prevazilaženje bola"
81cd49630803,Jelena Rozga,Obožavam,savremeno,pop,ljubav,hedonizam/provod,pozitivno,pozitivno,"strast, očaranost, zaljubljenost","uživanje u životu, opuštenost, jednostavnost, bratstvo"
87715771d08f,Jelena Rozga,Nevjeran do groba,savremeno,pop,raskid/tuga,raskid/tuga,negativno,negativno,"prihvatanje obmane, izdaja, gorčina","samopoštovanje, oslobađanje od toksične ljubavi, odbacivanje manipulacije"
27f80c774d4e,Jelena Rozga,Prsti zapleteni (duet Klapa Rišpet),savremeno,pop,ljubav,raskid/tuga,pozitivno,negativno,"nežnost, pripadanje, odanost","nesporazum, pokajanje, nevoljno rastajanje"
8b8dc7883f1e,Jelena Rozga,Sve se meni čini,savremeno,pop,raskid/tuga,ljubav,mešano,negativno,"sumnja, intuitivno spoznavanje istine, neverstvo","bezuslovna ljubav, bol od vrijeme, nada uprkos patnji"
9bead5ccd55f,Jelena Rozga,"Ne pijem, ne pušim",savremeno,pop,raskid/tuga,ljubav,pozitivno,negativno,"inat, samopoštovanje, prevazilaženje bola","ranjivost, nezavisnost od partner, bolna iskrenost"
94ddad7f9d6c,Severina,Na punti Marjana,savremeno,pop,identitet/domovina,ljubav,pozitivno,pozitivno,"lokalni ponos, nostalgija, tradicija","romantika, odanost, strast, morska poezija"
6276273ea3e4,Nina Badrić,Ti si mene (with Dino Merlin),savremeno,pop,raskid/tuga,ljubav,mešano,mešano,"pomirenje sa sudbinom, neprebolna ljubav, nostalgija","predanost uprkos boljim opcijama, sudbina, neizbežnost osećanja"
be12851d2242,Dado Polumenta,Od vina si me opila,savremeno,pop,hedonizam/provod,ljubav,pozitivno,negativno,"strast, očaranost, opijenost","iluzija i samozapanjenje u ljubavi, moralna ambivalencija, svest o laži"
11f6c76e9f41,Severina,Imam novog dečka,savremeno,pop,raskid/tuga,ljubav,pozitivno,pozitivno,"inat, samopouzdanje, kretanje dalje","strast, samopouzdanje, nezavisnost, seduction"
848e03201226,Jelena Rozga,Ja znam dobro što mi je,savremeno,pop,raskid/tuga,ljubav,mešano,negativno,"prihvatljivost bola, emotivno zrelo prihvatanje, lečenje vremena","čežnja, nostalgia, emotivna zavisnost"
b3b22d156e95,Karolina Gočeva,Ljubav ispod oblaka,savremeno,pop,ljubav,ljubav,pozitivno,mešano,"romantičnost, maštanje, nežnost","oslobođenje, samootkrivanje, bežanje od stvarnosti"
dcdedd9bf786,Severina,Ne spavaj mala moja,savremeno,pop,hedonizam/provod,hedonizam/provod,pozitivno,pozitivno,"udvaranje, radost, strast","buntovništvo, mladalačka sloboda, izazivanje autoriteta"
1f13b4cd3f54,Severina,Bojate bane buski,savremeno,pop,hedonizam/provod,ljubav,pozitivno,pozitivno,"igrivost, zabava, nostalgija","predanost, nežnost, večita ljubav"
5efd334fe5e1,Dado Polumenta,Ti si bila meni sve,savremeno,pop,raskid/tuga,raskid/tuga,negativno,negativno,"žaljenje, neprebolna ljubav, tuga","bol od gubitka, prihvatanje neizbežnog, pustanje"
cff3b937d8d8,Karolina Gočeva,Volela sam te,savremeno,pop,raskid/tuga,raskid/tuga,negativno,negativno,"nostalgično sećanje, neprebolna ljubav, žaljenje","žaljenje, samootkrivenje, neispunjeni potencijal veze"
36afd762c17d,Ana Nikolić,Ljubiti se znamo,savremeno,pop,ljubav,hedonizam/provod,pozitivno,pozitivno,"strast, privlačnost, emotivno prepuštanje","uživanje u trenutku, prijateljstvo, sloboda"
48d223f025b2,Nina Badrić,Ja za ljubav neću moliti,savremeno,pop,raskid/tuga,raskid/tuga,pozitivno,negativno,"ponos, samopoštovanje, kretanje dalje","prihvatanje raskida, dostojanstvo, samozaštita"
c6b07b3b6dc6,Severina,Ma daj,savremeno,pop,ljubav,ljubav,pozitivno,pozitivno,"flirt, udvaranje, igrivost","strast, intimnost, privrženost"
945e07d9f84a,Jelena Rozga,Ima nade (with Željko Samardžić),savremeno,pop,ljubav,raskid/tuga,mešano,negativno,"nada, neprebolna ljubav, opraštanje","samohvalstvo, iluzija i razočarenje, bolna realnost odnosa"
afa78325ce92,Nina Badrić,Nebo,savremeno,pop,raskid/tuga,raskid/tuga,mešano,negativno,"nada, vera u ljubav, emotivna čežnja","bol od gubitka, nada unatoč boli, vera u božansku pravdu"
1b8b3260ec07,Senidah,Idi gade,savremeno,trep,raskid/tuga,ljubav,negativno,pozitivno,"povređenost, inat, razočaranje","svadba, slavlje, bračna radost, tradicija"
75c9018c3962,Dara Bubamara,Ne gledaj me tako,savremeno,turbo_folk,raskid/tuga,ljubav,negativno,negativno,"povređenost, inat, razočaranje","patnja u ljubavi, očajanje, верност упркос боли"
ea08bc06cdc5,Boban Rajović,Jugoslavijo,savremeno,turbo_folk,identitet/domovina,identitet/domovina,mešano,negativno,"domovinsko sećanje, jedinstvo, žudnja za prošlošću","nostalgija, žal za izgubljenim, bola od raspada, patriotizam"
1239d77a3e88,Ivana Selakov,Uradi mi to,savremeno,turbo_folk,ljubav,ljubav,pozitivno,mešano,"strast, privlačnost, emotivno prepuštanje","intenzivnost emocija, samoobmana, traganja za istinom u odnosu"
0aa534a6902c,Dara Bubamara,Već sam navikla,savremeno,turbo_folk,raskid/tuga,raskid/tuga,mešano,negativno,"pomirenje sa sudbinom, navikavanje na bol, kretanje dalje","samota, nostalgija, nemogućnost zaboravljanja"
329475f0c0b5,Boban Rajović,Bata,savremeno,turbo_folk,hedonizam/provod,ljubav,pozitivno,mešano,"udvaranje, zavodjenje, zabava","manipulacija, seksualna privlačnost, dominacija u odnosu"
f1fbd84445cd,Boban Rajović,Koga foliraš,savremeno,turbo_folk,ljubav,ljubav,pozitivno,pozitivno,"zavodjenje, udvaranje, strast","opasnost, manipulacija, posesivnost"
eed63a51e276,Dara Bubamara,Nisam ja dete,savremeno,turbo_folk,raskid/tuga,raskid/tuga,mešano,mešano,"inat, ponos, kretanje dalje","razočarenje, opraštanje, bolna mudrost, završetak"
19b8c51f3447,Boban Rajović,Alkoholna injekcija,savremeno,turbo_folk,raskid/tuga,raskid/tuga,negativno,negativno,"utapanje tuge u alkoholu, patnja, neprebolna ljubav","depresija, bekstvo od bola kroz alkohol, samoDestrukcija"
cf380eb7b1db,Boban Rajović,Ruže daješ u pelinu,savremeno,turbo_folk,raskid/tuga,raskid/tuga,negativno,negativno,"razočaranje, povređenost, patnja","bol od izdaje, beznadežnost, želja za prekidom"
9d9d07a5f610,Boban Rajović,Svako traži svoj put,savremeno,turbo_folk,raskid/tuga,identitet/domovina,mešano,negativno,"porodične veze, tradicija, nostalgija za domom","nostalgija za domom, bratstvo, dubina duše"
37ec1b05f6e2,Dara Bubamara,Izdali smo našu ljubav,savremeno,turbo_folk,raskid/tuga,raskid/tuga,negativno,negativno,"kajanje, patnja, neprebolna ljubav","kajanje, izvinjavanje, neizbežnost sudbine, gubitak"
250c0af19b65,Boban Rajović,Papreno,savremeno,turbo_folk,raskid/tuga,raskid/tuga,negativno,negativno,"povređenost, izdaja, razočaranje","izdaja, bol, alkoholizam kao beg od bola"
37f039a1b70b,Dara Bubamara,Bludni sine,savremeno,turbo_folk,raskid/tuga,raskid/tuga,negativno,negativno,"osveta, inat, povređenost","opomena za devijantno ponašanje, kontrola, osveta"
cf33d02d6c89,Halid Muslimović,Stranac u svom gradu,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"usamljenost, tuga, beznađe","usamljenost, izgubljenost, isključenost iz zajednice"
c37ef7ac0b9c,Halid Muslimović,"Piši, piši, jarane",sfrj,narodna_narodnjacka,prijateljstvo/porodica,identitet/domovina,mešano,negativno,"prijateljstvo, nostalgija za domom, odanost","nostalgija, lojalnost domovini, bratstvo, čuvanje традиције"
c252a60fbbf0,Hanka Paldum,Žena kao žena,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"ponos, dostojanstvo, sloboda","samopoštovanje, odbacivanje lažnosti, ženski identitet"
db2fe77b6c7e,Hanka Paldum,Srce je moje kamen,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"patnja, neprebolna ljubav, tuga","nesreća u ljubavi, nostalgija, nepreboliva bol"
da01098a12c2,Halid Bešlić,Prolaznik,sfrj,narodna_narodnjacka,raskid/tuga,ljubav,negativno,negativno,"razočaranje, otuđenost, prolaznost ljubavi","prevara, emotivna distanca, ljubomora"
f58b6d1f4258,Halid Muslimović,Čuvaj prvu ljubav,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"kajanje, povređenost, opomena","żaljenje za prošlošću, pouka o izdaji, ispravljanje greške"
93806bd1216d,Hanka Paldum,Uzalud mi tražiš oproštaj,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"ponos, razočaranje, kretanje dalje","nezavisnost, dostojanstvo, prihvatanje gubitka"
929891730b90,Hanka Paldum,Plačem već tri dana,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"patnja, tuga, neprebolna ljubav","čežnja, melanholija, neisplačena bol"
4917cec7c9f9,Miroslav Ilić,Nije život jedna žena,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,mešano,negativno,"inat, ponos, kretanje dalje","pomirenje sa sudbinom, samopouzdanje, prihvatanje gubitka"
53bedc28d311,Šaban Šaulić,Ti si meni i nemoć i moć,sfrj,narodna_narodnjacka,ljubav,ljubav,mešano,mešano,"strast, predanost, neprebolna ljubav","intenzivna strast, opsesija, paradoks ljubavi"
6787e7528990,Ana Bekuta,Tugo moja crnooka,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"patnja, neprebolna ljubav, tuga","žal za izgubljenom ljubavlju, neizbežnost gubitka, melanholija"
f688c5b62e00,Vesna Zmijanac,Dođi da se družimo,sfrj,narodna_narodnjacka,hedonizam/provod,ljubav,pozitivno,pozitivno,"radost, pomirenje, prijateljstvo","pomirenje, bliskost, prihvatanje sudbine"
eac7fe106376,Halid Muslimović,Mladost više doći neće,sfrj,narodna_narodnjacka,hedonizam/provod,hedonizam/provod,mešano,pozitivno,"uživanje u životu, prijateljstvo, prihvatanje starenja","životna mudrость, uživanje u trenutku, prijateljstvo, prihvatanje starenja"
47aa80f811fe,Halid Muslimović,Ljube mi se usne tvoje,sfrj,narodna_narodnjacka,ljubav,ljubav,mešano,negativno,"strast, predanost, neprebolna ljubav","bezuslovna ljubav, nemogućnost napuštanja, zavisan odnos"
0a28250a823f,Halid Muslimović,Prokleti grad,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"usamljenost, razočaranje, izdaja","izdaja, usamljenost, izgubljena ljubav, tuga"
89948eb0f302,Halid Bešlić,Požuri,sfrj,narodna_narodnjacka,ljubav,ljubav,pozitivno,pozitivno,"spasenje, odanost, sreća","zahvalnost, duboka povezanost, spasenje kroz ljubav"
341f5f4d99bd,Hanka Paldum,Sanjam,sfrj,narodna_narodnjacka,ljubav,ljubav,pozitivno,pozitivno,"strast, predanost, romantična čarolija","romantic idealism, escapism, eternal love, transcendence through passion"
194bb03fa4dd,Halid Muslimović,Kunem se,sfrj,narodna_narodnjacka,ljubav,ljubav,mešano,negativno,"predanost, odanost, neprebolna ljubav","apsolutna privrženost, nemoć bez voljene osobe"
d2efc415ae29,Halid Bešlić,"Zbogom noći, zbogom zore",sfrj,narodna_narodnjacka,ljubav,ljubav,pozitivno,pozitivno,"strast, predanost, romantični zanos","predanost, intenzivna strast, posvećenost partneru"
4f4b203678a6,Halid Bešlić,Pjesme moje,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"utjeha u muzici, patnja, preživljavanje","muzika kao spasenje, izdržavanje kroz patnju, prihvatanje sudbine"
5868967dc478,Ana Bekuta,Htela sam tebi biti žena,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"razočaranje, patnja, neuzvraćena ljubav","žal, bespomoćnost, žrtvovanje ljubavi"
a37d46682227,Hanka Paldum,Ja za tebe nikad nisam bila žena,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"razočaranje, dostojanstvo, odlazak","samodostojnost, prihvatanje realnosti, odlučnost"
9004cdde8256,Halid Muslimović,Ona zna,sfrj,narodna_narodnjacka,ljubav,ljubav,pozitivno,mešano,"strast, razumevanje, bliskost","intimnost, duboka emotivna povezanost, erotska tenzija"
c639bef77413,Halid Muslimović,Što si sinu dala moje ime,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"žalac za prošlošću, neprebolna ljubav, tuga","dubok bol od gubitka, neispunjene otačinske dužnosti, nostalgija"
11243e6b23e0,Vesna Zmijanac,Idem preko zemlje Srbije,sfrj,narodna_narodnjacka,identitet/domovina,ljubav,mešano,mešano,"odanost, ljubav prema domovini, poverenje","bezuslovna vera, utočište u dragoj osobi, prevazilaženje negativnosti"
51f5a640ee53,Mile Kitić,Što si tako zao živote,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"saosećanje, tuga, prolaznost","žal nad sudbinom, tuga nad izgubljenom osobom, osuda nepravednosti života"
678de27726a1,Halid Muslimović,Pamtit ćemo ovaj grad,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"nostalgičnost, žalac za prošlošću, razočaranje","nostalalgija, zbunjenost, nemoć"
a6095a04d473,Halid Muslimović,Takav sam ja,sfrj,narodna_narodnjacka,hedonizam/provod,ljubav,pozitivno,mešano,"sloboda, samopouzdanje, uživanje u životu","muški hedonizam, bezobzirnost, neizvesnost u odnosu"
696522a1f37f,Ana Bekuta,Na tvoju milost,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"predanost, patnja, neuzvraćena ljubav","patnja od izgubljene ljubavi, samopresuđivanje, bezuslovna predanost"
6782ebd864d7,Ana Bekuta,Još imaš kad,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"raskid, ponos, odlazak","odredbjenost, emancipacija, hlađenje osjećanja"
97459363f66d,Halid Bešlić,Pet godina volio sam tebe,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"izdaja, patnja, utjeha u muzici","izdaja, bolna iskustva, žal za izgubljenom ljubavlju"
69a06369ba10,Halid Muslimović,Nekad si moj saputnik bila,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"čežnja, nostalgija, nada","nostalgia, čežnja, gubitak, melanholia"
a1c4a1d71056,Šaban Šaulić,Sada je svemu kraj,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"razočaranje, ponos, kraj ljubavi","prevara, odbacivanje iluzija, dostojanstvo nakon izdaje"
5f923995f619,Halid Bešlić,Zašto je moralo tako da bude,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"žalac za prošlošću, ponos, tuga","žal nad izgubljenom ljubavlju, krivica, beznadežnost"
411680f12940,Halid Muslimović,"Plakao bih, plakao",sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"pokajanje, žalac za prošlošću, čežnja","kajanje, nostalgija, žal za izgubljenom ljubavlju"
fd9ea46cf4fd,Halid Bešlić,Nije ljubav vino,sfrj,narodna_narodnjacka,ljubav,ljubav,mešano,mešano,"vernost, odanost, patnja","melanholija, duboka oданост, romantična intenzivnost"
6f104f4bc433,Halid Muslimović,Ti i ja,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"žalac za prošlošću, neprebolna ljubav, čežnja","nepreslađena ljubav, nostalgija, trajna patnja"
b84a0ac4857f,Ana Bekuta,Umreću na tuđi dan,sfrj,narodna_narodnjacka,raskid/tuga,ljubav,negativno,negativno,"neuzvraćena ljubav, gubljenje nade, sudbina","neobjašnjiva sudbina, nemogućnost izbora, tuga zbog izgubljene prilike"
312a510412af,Hanka Paldum,Te su me oči lagale,sfrj,narodna_narodnjacka,raskid/tuga,ljubav,negativno,mešano,"razočaranje, izdaja, obmana","intimnost kroz pogled, izdaja i razočaranje, halucinacija preko pogleda"
6d0032bfddf4,Hanka Paldum,Miris kose,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"čežnja, nostalgija, žalac za prošlošću","nostalgija, besmisao bez voljene osobe, priroda kao svedok bola"
1849d159dd63,Halid Muslimović,Učini bar jedan pogrešan korak,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"žrtvovanje, krivica, odlazak","samospoznaja, žal za izgubljenom ljubavlju, prihvatanje sopstvene prirode"
d08db7b71a86,Halid Bešlić,Ulica uzdaha (duet Luna),sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"mirenje sa sudbinom, žalac za prošlošću, neprebolna ljubav","prihvatanje neizbežnosti raskida, sevdah, nostalgija"
0ce5ba89827d,Halid Muslimović,Reci mi,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"sumnja, strah od gubitka, želja za istinom","nesigurnost, strah od gubitka, duboka vezanost"
4ff9cad1ef5f,Šaban Šaulić,Sanjam ženu s mališanom,sfrj,narodna_narodnjacka,identitet/domovina,identitet/domovina,mešano,negativno,"dom, porodica, čežnja za zavičajem","nostalgia, tuga za domovinom, povezanost sa roditeljstvom"
6e8c0487bceb,Hanka Paldum,Sama,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"napuštenost, razočaranje, patnja","napuštenost, beznađe, nesigurnost u ljubavi"
28728480a04e,Halid Bešlić,I zanesen tom ljepotom,sfrj,narodna_narodnjacka,ljubav,ljubav,pozitivno,pozitivno,"iscjeljenje, nova ljubav, nadahnuće","ozdravnjenje kroz ljubav, predanost, preobražaj"
555992f4bc2c,Hanka Paldum,Sarajevo grad,sfrj,narodna_narodnjacka,identitet/domovina,identitet/domovina,pozitivno,pozitivno,"ljubav prema gradu, sevdah, radost života","ponos na domovinu, romanticizacija Sarajeva, ljubav prema gradu"
f5b3fdf68304,Toma Zdravković,Detelina s četiri lista (with Milina Stefanović),sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"gubljenje nade, neprebolna ljubav, žalac za prošlošću","nostalgija, gubitak, ožalošćenost nad prošlošću"
9a877cf9dfc4,Halid Muslimović,Lažeš sebe,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"ponos, neprihvatanje istine, neprebolna ljubav","prihvatanje sudbine, samosvest u bolu, odbijanje samoobmane"
87b6bb87712d,Halid Bešlić,Budna si,sfrj,narodna_narodnjacka,raskid/tuga,raskid/tuga,negativno,negativno,"usamljenost, neprebolna ljubav, nevjerica","osamljenost, nostalgia, gubitak voljene osobe"
310a8d9dfb42,Električni orgazam,Podstanar,sfrj,novi_talas,ostalo,ostalo,negativno,negativno,"otuđenost, unutrašnja borba, bunt protiv društvenih normi","unutrašnja borba, neprihvaćenost, skrivanje od porodice"
9086f398ddc5,Električni orgazam,Skloke ploke flonge,sfrj,novi_talas,ostalo,ostalo,neutralno,neutralno,"apsurd, eksperiment, igra rečima","jezička eksperimentacija, besmislenost"
57424ced8b60,Haustor,Ena,sfrj,novi_talas,ljubav,ljubav,negativno,negativno,"nostalgičnost, nemir, nepripadanje, daljina","neizvesnost, nemogućnost promena, nostalgija, odbijanje zavisnosti"
2547aaf7e8a6,Električni orgazam,Magična ruka,sfrj,novi_talas,ostalo,ostalo,mešano,mešano,"beg od stvarnosti, spokoj, sanjarenje","bekstvo od realnosti, pronalaženje mira u prirodi, efemernost"
55c4d9f30e35,Električni orgazam,Tome neće doći kraj,sfrj,novi_talas,ljubav,ljubav,negativno,negativno,"neshvaćenost, udvaranje, nesporazum, istrajnost","neuspešna ljubav, nerazumevanje, tugu zbog odbijanja"
c9cc41a7042d,Električni orgazam,Oslobodi se (u krugu svetlosti),sfrj,novi_talas,ostalo,ostalo,pozitivno,pozitivno,"sloboda, buđenje, raskid s prošlošću, radost","oslobađanje, transformacija, samoispunjenje"
38af22c76c43,Električni orgazam,Ja nisam znao neke stvari,sfrj,novi_talas,ljubav,ljubav,negativno,mešano,"neshvaćenost, razočaranje, spoznaja","misterija, intimnost, nesigurnost u odnosu"
a64d03ae50da,Električni orgazam,A ti me opet zoveš,sfrj,novi_talas,ljubav,ljubav,negativno,mešano,"nedoumica, nemir, neprebolna ljubav, toksičan odnos","nesigurnost, unutrašnja borba, zavisnost"
945c9e8df15a,Električni orgazam,"Hajde, bejbe (daj da vidim sad)",sfrj,novi_talas,hedonizam/provod,raskid/tuga,pozitivno,negativno,"strast, zabava, ples, energija","distanca između ljudi, kasna saznanja, neizbežnost raskida"
e2b788b3c44d,Haustor,Donje strane munje,sfrj,novi_talas,politika/društvo,identitet/domovina,negativno,negativno,"otuđenost, teskoba, ratno stanje, propadanje","trauma, monotonija zatvorstva, gubitak identiteta"
99d9c8d7dd00,Crvena jabuka,Kad ćeš mi doć,sfrj,pop,ljubav,ljubav,mešano,negativno,"čežnja, razdvojenost, strast, predanost","čežnja, očajanje, razluka, nada"
d74a3f894657,Arsen Dedić,Život je more,sfrj,pop,ostalo,raskid/tuga,mešano,negativno,"borba, prkos, prolaznost, nada","otpornost u neizvesnosti, borba sa prošlošću, nada uprkos bolovima"
84da4328fe10,Zdravko Čolić,"Pjevam danju, pjevam noću",sfrj,pop,ljubav,ljubav,pozitivno,pozitivno,"radost, divljenje, udvaranje, zanesenost","idealizacija voljene osobe, poetski izraz obožavanja"
cf6de1cd4fa3,Tereza Kesovija,Tvoje su ruke u mojoj kosi,sfrj,pop,ljubav,ljubav,pozitivno,pozitivno,"bliskost, spokoj, sreća, predanost","strast, predanost, živenje u trenutku, romantična idealizacija"
1c31e015871d,Zdravko Čolić,Kuba,sfrj,pop,hedonizam/provod,ljubav,pozitivno,pozitivno,"zabava, ples, sloboda, strast","bezuslovna prihvatanje, oslobađanje, uživanje u ljubavi"
db4aed01cecb,Zdravko Čolić,Tako tiho,sfrj,pop,ostalo,ostalo,mešano,negativno,"mir, samoća, prolaznost, sanjarenje","usamljenost, tražnja mira, pasivnost, sudbina"
d80640cc4898,Zdravko Čolić,"Ne kunite, ne krivite",sfrj,pop,ostalo,raskid/tuga,negativno,negativno,"oproštaj, rastanak, potraga za srećom, usamljenost","samotnja, traženje sreće, oprost i razumevanje, osamljenost"
4579066b8720,Arsen Dedić,Sanjam te,sfrj,pop,ljubav,ljubav,pozitivno,mešano,"pripadnost, privrženost, smisao, zahvalnost","tajnost ljubavi, duševna povezanost, nesumnjiva vernost"
03d81ca08694,Josipa Lisac,Tko zna kog vidiš u meni,sfrj,pop,ljubav,ljubav,negativno,negativno,"sumnja, otuđenost, neverstvo, bol","sumnja, emotivna distanca, nesigurnost u vezi"
13eeadea5ab4,Aerodrom,Kvari sve,sfrj,pop,ljubav,ljubav,mešano,negativno,"ambivalencija, nemir, zavisnost, nemogućnost kontrole","emotivna zavisnost, samorazaranje, manipulacija"
ad9d37cc0bdc,Tereza Kesovija,Uspavanka za Ivu,sfrj,pop,prijateljstvo/porodica,prijateljstvo/porodica,pozitivno,pozitivno,"majčinska ljubav, požrtvovanost, zaštitništvo, nežnost","roditeljska ljubav, zaštita, bezuslovna predanost detetu"
52fdec8ab8a0,Crvena jabuka,Oči boje srne,sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"neuzvraćena ljubav, patnja, opsesija, inat","opsesija, bezuslovna ljubav, patnja i žrtva"
a350e6faee00,Zdravko Čolić,Julija,sfrj,pop,ljubav,ljubav,pozitivno,pozitivno,"čežnja, očaranost, posvećenost, strast","divljenje, posvećenost, romantična obsesija"
7b17091045ba,Crvena jabuka,Sestro srca mog,sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"kajanje, gubitak, tuga, praznina","kajanje, nostalgija, gubici zbog slepoće za onim što je važno"
80ad3990c95f,Zdravko Čolić,Ostanimo prijatelji,sfrj,pop,ljubav,raskid/tuga,mešano,mešano,"pomirenost, poštovanje, nostalgija, zrelost","nostalgija, pomirenje sa sudbinom, čuvanje dragocenih uspomena"
21c8e36f6976,Oliver Dragojević,Dobar dan,sfrj,pop,ljubav,raskid/tuga,mešano,negativno,"nostalgia, nedostajanje, teret prošlosti, tiha nada","nostalgia, bol od gubitka, tuga od rastanka"
604cb2562bcd,Tereza Kesovija,Zaboravi ako možeš,sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"nostalgična tuga, ostavljenost, prekor, povređenost","nostalgija, bol od gubitka, nemoć da se zadrži ljubav"
2ba885f1f723,Crvena jabuka,Ovo je kraj (feat. Neverne bebe),sfrj,pop,ljubav,raskid/tuga,negativno,negativno,"mirenje sa sudbinom, bol, neizbežnost, tugovanje","žaljenje, neizvesnost, bolna odluka, nedostajanje"
112cbe3bed03,Regina,Minijatura,sfrj,pop,ostalo,identitet/domovina,negativno,negativno,"razočaranje, otuđenost, površnost, gubitak privatnosti","usamljenost u uspehu, manipulacija okolinom, buntovnost"
